size,lr,blk,epoch,head_frozen,PPL,mean_similarity_score,std_similarity_score,min_similarity_score,25%_similarity_score,50%_similarity_score,75%_similarity_score,mean_exact_match,std_exact_match,max_exact_match,exact_match_1,exact_match_2,exact_match_3,exact_match_4,exact_match_5,exact_match_6,exact_match_7,exact_match_8,exact_match_9,exact_match_10,exact_match_11,exact_match_12,exact_match_13,exact_match_14,exact_match_15,exact_match_18,exact_match_23,exact_match_54,exact_match_0,exact_match_16,exact_match_17,exact_match_19,exact_match_20,exact_match_21,exact_match_22,exact_match_25,exact_match_32,exact_match_39,exact_match_34,exact_match_37,exact_match_30,exact_match_33,exact_match_26,exact_match_29,exact_match_53,exact_match_27,exact_match_24,exact_match_28,exact_match_36,exact_match_38,exact_match_31,exact_match_35,exact_match_40,exact_match_42,exact_match_43,exact_match_46,exact_match_48,exact_match_52,exact_match_60,exact_match_64
gpt2-large,1E-05,1,2,False,15.6474,0.759817552476354,0.208771600025499,-0.061493262648582,0.62607678771019,0.80995512008667,0.935622438788414,0.963317647058824,1.45673231648794,54,20770,9862,4808,2472,1312,717,395,231,128,77,42,32,19,11,7,4,3,1,21730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-05,1,4,False,15.5083,0.764234203014599,0.20673061754717,-0.103169679641724,0.631576478481293,0.815081924200058,0.938497394323349,1.01781176470588,1.51725618109486,54,21389,10358,5236,2753,1479,824,479,286,163,101,53,36,24,14,9,3,2,1,21111,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-05,1,6,False,15.5483,0.76507361515664,0.205918500422198,-0.034501366317272,0.63379593193531,0.814965754747391,0.939224362373352,1.06211764705882,1.57831257981019,54,21743,10830,5554,2998,1657,926,540,317,186,124,71,50,34,20,15,7,3,1,20757,11,8,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-05,1,1,False,16.5941,0.76288314141824,0.208238603341649,-0.066216036677361,0.629649609327316,0.814084321260452,0.938014343380928,0.990188235294118,1.46675359701564,23,21022,10157,5013,2620,1439,792,437,255,139,83,46,32,20,8,6,,1,,21478,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-05,1,2,False,16.4676,0.767021693048801,0.205230621112659,-0.108278408646584,0.638266012072563,0.816953778266907,0.939944311976433,1.16974117647059,1.68532997285741,39,22742,11903,6388,3572,2080,1203,688,415,247,155,95,58,44,25,17,,4,,19758,11,8,,7,6,5,3,2,1,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-05,1,3,False,17.5447,0.773534389095578,0.20336928857777,-0.0549351349473,0.646379113197327,0.824244141578674,0.945284739136696,1.36672941176471,1.9187240667895,54,24280,13693,7901,4678,2802,1725,1057,667,418,257,165,111,79,55,39,14,,1,18220,24,17,12,10,8,5,,4,,3,2,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-05,1,4,False,19.3573,0.777550996024556,0.202307053549323,-0.072243459522724,0.652477338910103,0.828516215085983,0.948984771966934,1.61588235294118,2.17219324151401,54,25951,15775,9731,6081,3869,2494,1616,1045,671,431,292,195,136,93,70,26,,1,16549,47,38,20,11,8,7,,,2,,,4,3,,,,,,,,,,,,,,,,,,
gpt2-large,5E-06,1,10,False,30.0327,0.763806075793888,0.206628395187521,-0.059562373906374,0.631389245390892,0.81459829211235,0.938230261206627,1.04061176470588,1.54550043420678,54,21548,10628,5402,2889,1579,885,509,300,168,106,62,42,26,15,10,4,2,1,20952,7,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-06,1,3,False,15.7113,0.76040210972917,0.208496622663948,-0.055879957973957,0.626753330230713,0.81034192442894,0.936420649290085,0.9492,1.4231476972612,39,20692,9691,4693,2410,1251,685,379,219,122,73,37,25,16,9,6,,2,,21808,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-06,1,6,False,15.5242,0.763167451330318,0.207158162179883,-0.055879957973957,0.631739094853401,0.813692271709442,0.937719970941544,1.01249411764706,1.51207416556268,54,21278,10350,5171,2750,1487,820,464,273,153,100,53,35,23,12,8,,2,1,21222,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,0.0001,0,2,False,19.903,0.753903282988948,0.211418434140671,-0.112273253500462,0.615237325429916,0.803228944540024,0.933456346392631,0.944870588235294,1.38082446355883,19,20617,10120,4679,2253,1136,590,323,185,99,59,35,24,12,8,6,2,,,21883,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,0.0001,0,4,False,20.9243,0.755193895715344,0.210903091490081,-0.075990304350853,0.618707776069641,0.804291605949402,0.933680713176727,0.970211764705882,1.40978325896094,18,20876,10381,4878,2397,1224,643,348,207,113,67,41,26,13,8,5,1,,,21624,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,0.0001,0,1,False,19.2818,0.752121665450755,0.212410943097651,-0.083827406167984,0.615226700901985,0.80127340555191,0.932062327861786,0.904635294117647,1.3285485391589,21,20217,9657,4363,2074,1013,526,267,151,75,39,26,15,7,,,,,,22283,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-05,0,2,False,19.8998,0.746643534632652,0.21636517595929,-0.072788439691067,0.606205627322197,0.798499822616577,0.928981617093086,0.789082352941176,1.17634246707524,16,19025,8378,3413,1465,644,321,138,75,29,16,12,10,5,,2,,,,23475,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-05,0,6,False,19.4195,0.749835620685141,0.213501447782165,-0.06879510730505,0.611394077539444,0.799307942390442,0.929748922586441,0.833552941176471,1.23534305383863,16,19536,8784,3808,1716,797,395,186,105,42,22,16,11,4,2,,,,,22964,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-05,0,10,False,19.2373,0.750554134752316,0.213090048142884,-0.066654153168201,0.612258344888687,0.80032479763031,0.9309121966362,0.8548,1.26353907578013,16,19724,9053,3979,1838,859,431,210,116,49,29,20,12,5,2,,,,,22776,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
